,Year,Month,Median_Temp_Difference
209,1867,06,-0.304
210,1867,07,-0.247
211,1867,08,-0.23399999999999999
212,1867,09,-0.10300000000000001
213,1867,10,-0.18600000000000003
214,1867,11,-0.314
215,1867,12,-0.628
216,1868,01,-0.7
217,1868,02,-0.47100000000000003
218,1868,03,-0.079
219,1868,04,-0.381
220,1868,05,-0.077
221,1868,06,-0.17800000000000002
222,1868,07,0.138
223,1868,08,-0.040999999999999995
224,1868,09,-0.20199999999999999
225,1868,10,-0.23800000000000002
226,1868,11,-0.505
227,1868,12,-0.131
228,1869,01,-0.249
229,1869,02,0.258
230,1869,03,-0.591
231,1869,04,-0.221
232,1869,05,-0.281
233,1869,06,-0.376
234,1869,07,-0.293
235,1869,08,-0.084
236,1869,09,-0.196
237,1869,10,-0.41700000000000004
238,1869,11,-0.371
239,1869,12,-0.358
240,1870,01,-0.08199999999999999
241,1870,02,-0.45299999999999996
242,1870,03,-0.4
243,1870,04,-0.20600000000000002
244,1870,05,-0.168
245,1870,06,-0.21600000000000003
246,1870,07,0.018000000000000002
247,1870,08,-0.259
248,1870,09,-0.264
249,1870,10,-0.40299999999999997
250,1870,11,-0.17
251,1870,12,-0.72
252,1871,01,-0.528
253,1871,02,-0.5479999999999999
254,1871,03,0.003
255,1871,04,-0.139
256,1871,05,-0.309
257,1871,06,-0.222
258,1871,07,-0.013000000000000001
259,1871,08,-0.221
260,1871,09,-0.45299999999999996
261,1871,10,-0.48
262,1871,11,-0.5379999999999999
263,1871,12,-0.561
264,1872,01,-0.31
265,1872,02,-0.405
266,1872,03,-0.47
267,1872,04,-0.15
268,1872,05,-0.040999999999999995
269,1872,06,-0.205
270,1872,07,-0.113
271,1872,08,-0.027000000000000003
272,1872,09,-0.128
273,1872,10,-0.22699999999999998
274,1872,11,-0.244
275,1872,12,-0.426
276,1873,01,-0.03
277,1873,02,-0.344
278,1873,03,-0.29
279,1873,04,-0.524
280,1873,05,-0.41200000000000003
281,1873,06,-0.257
282,1873,07,-0.15
283,1873,08,-0.159
284,1873,09,-0.355
285,1873,10,-0.401
286,1873,11,-0.46399999999999997
287,1873,12,-0.272
288,1874,01,0.063
289,1874,02,-0.435
290,1874,03,-0.556
291,1874,04,-0.504
292,1874,05,-0.467
293,1874,06,-0.457
294,1874,07,-0.16899999999999998
295,1874,08,-0.363
296,1874,09,-0.204
297,1874,10,-0.433
298,1874,11,-0.501
299,1874,12,-0.40399999999999997
300,1875,01,-0.5710000000000001
301,1875,02,-0.597
302,1875,03,-0.597
303,1875,04,-0.466
304,1875,05,-0.175
305,1875,06,-0.233
306,1875,07,-0.299
307,1875,08,-0.18
308,1875,09,-0.268
309,1875,10,-0.363
310,1875,11,-0.503
311,1875,12,-0.506
312,1876,01,-0.315
313,1876,02,-0.27899999999999997
314,1876,03,-0.38799999999999996
315,1876,04,-0.298
316,1876,05,-0.5329999999999999
317,1876,06,-0.282
318,1876,07,-0.13699999999999998
319,1876,08,-0.248
320,1876,09,-0.436
321,1876,10,-0.38799999999999996
322,1876,11,-0.586
323,1876,12,-0.716
324,1877,01,-0.327
325,1877,02,0.049
326,1877,03,-0.28
327,1877,04,-0.321
328,1877,05,-0.45399999999999996
329,1877,06,-0.092
330,1877,07,0.013000000000000001
331,1877,08,0.147
332,1877,09,0.027999999999999997
333,1877,10,0.062
334,1877,11,0.096
335,1877,12,0.17
336,1878,01,0.174
337,1878,02,0.40299999999999997
338,1878,03,0.34299999999999997
339,1878,04,0.319
340,1878,05,-0.08199999999999999
341,1878,06,0.019
342,1878,07,-0.049
343,1878,08,-0.023
344,1878,09,0.017
345,1878,10,-0.122
346,1878,11,-0.2
347,1878,12,-0.35600000000000004
348,1879,01,-0.193
349,1879,02,-0.149
350,1879,03,-0.094
351,1879,04,-0.214
352,1879,05,-0.212
353,1879,06,-0.27
354,1879,07,-0.23
355,1879,08,-0.16699999999999998
356,1879,09,-0.215
357,1879,10,-0.122
358,1879,11,-0.39
359,1879,12,-0.515
360,1880,01,-0.067
361,1880,02,-0.17300000000000001
362,1880,03,-0.10400000000000001
363,1880,04,-0.15
364,1880,05,-0.244
365,1880,06,-0.307
366,1880,07,-0.247
367,1880,08,-0.11599999999999999
368,1880,09,-0.235
369,1880,10,-0.386
370,1880,11,-0.408
371,1880,12,-0.294
372,1881,01,-0.353
373,1881,02,-0.23399999999999999
374,1881,03,-0.18100000000000002
375,1881,04,-0.131
376,1881,05,-0.03
377,1881,06,-0.23
378,1881,07,-0.14800000000000002
379,1881,08,-0.12300000000000001
380,1881,09,-0.24
381,1881,10,-0.275
382,1881,11,-0.33399999999999996
383,1881,12,-0.13
384,1882,01,0.125
385,1882,02,-0.008
386,1882,03,-0.051
387,1882,04,-0.28300000000000003
388,1882,05,-0.37200000000000005
389,1882,06,-0.315
390,1882,07,-0.187
391,1882,08,-0.221
392,1882,09,-0.156
393,1882,10,-0.32899999999999996
394,1882,11,-0.312
395,1882,12,-0.47100000000000003
396,1883,01,-0.4
397,1883,02,-0.321
398,1883,03,-0.34600000000000003
399,1883,04,-0.397
400,1883,05,-0.256
401,1883,06,-0.124
402,1883,07,-0.2
403,1883,08,-0.21
404,1883,09,-0.27899999999999997
405,1883,10,-0.379
406,1883,11,-0.312
407,1883,12,-0.32299999999999995
408,1884,01,-0.40299999999999997
409,1884,02,-0.217
410,1884,03,-0.45899999999999996
411,1884,04,-0.527
412,1884,05,-0.396
413,1884,06,-0.41100000000000003
414,1884,07,-0.424
415,1884,08,-0.413
416,1884,09,-0.34600000000000003
417,1884,10,-0.332
418,1884,11,-0.5670000000000001
419,1884,12,-0.415
420,1885,01,-0.502
421,1885,02,-0.41200000000000003
422,1885,03,-0.48200000000000004
423,1885,04,-0.469
424,1885,05,-0.518
425,1885,06,-0.486
426,1885,07,-0.316
427,1885,08,-0.505
428,1885,09,-0.32899999999999996
429,1885,10,-0.242
430,1885,11,-0.262
431,1885,12,-0.155
432,1886,01,-0.396
433,1886,02,-0.47
434,1886,03,-0.41200000000000003
435,1886,04,-0.33799999999999997
436,1886,05,-0.188
437,1886,06,-0.382
438,1886,07,-0.28
439,1886,08,-0.335
440,1886,09,-0.43200000000000005
441,1886,10,-0.361
442,1886,11,-0.423
443,1886,12,-0.42
444,1887,01,-0.5660000000000001
445,1887,02,-0.556
446,1887,03,-0.457
447,1887,04,-0.435
448,1887,05,-0.355
449,1887,06,-0.40399999999999997
450,1887,07,-0.27399999999999997
451,1887,08,-0.36200000000000004
452,1887,09,-0.337
453,1887,10,-0.499
454,1887,11,-0.40399999999999997
455,1887,12,-0.395
456,1888,01,-0.591
457,1888,02,-0.44
458,1888,03,-0.534
459,1888,04,-0.23800000000000002
460,1888,05,-0.34700000000000003
461,1888,06,-0.292
462,1888,07,-0.304
